TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
d004911,11,여,20,6,1,1,3,2,,5,5,3,3,50,50110,42,42150,46,46730,4,1,1,3,5,1,5,6,서울특별시,제주,2인 여행(가족 외),2022-10-09~2022-10-12,2,3,1,1
d002531,41,남,20,6,2,1,2,4,,2,12,3,8,50,50130,47,47920,42,42190,2,2,3,3,4,1,4,2,경기도,제주,2인 여행(가족 외),2022-10-09~2022-10-13,1,3,2,1
a014723,29,여,20,6,1,1,3,3,,4,7,2,1,26,26500,11,11680,30,30200,7,7,6,2,1,7,7,6,광주광역시,서울,나홀로 여행,2022-10-28~2022-10-28,1,5,2,0
d004077,27,여,30,5,1,1,2,3,,3,5,2,3,46,46130,50,50110,26,26350,2,2,2,5,3,2,6,6,대구광역시,제주,나홀로 여행,2022-10-29~2022-10-31,4,2,7,0
d003580,50,남,40,5,1,2,6,11,,1,7,2,2,50,50110,42,42110,41,41610,2,2,2,4,6,3,6,2,제주특별자치도,제주,자녀 동반 여행,2022-10-09~2022-10-10,1,3,2,3
d001844,41,여,30,5,4,1,4,3,,4,7,4,3,42,42210,50,50110,42,42150,4,6,4,1,3,4,5,4,경기도,제주,부모 동반 여행,2022-10-14~2022-10-16,1,,,3
d000891,11,여,20,5,1,1,4,6,,4,5,3,4,50,50130,46,46150,11,11170,2,1,2,2,3,3,1,6,서울특별시,제주,2인 여행(가족 외),2022-08-20~2022-08-22,5,3,9,1
d003608,50,여,30,5,1,2,4,5,,9,9,2,3,50,50110,47,47290,11,11680,2,3,1,4,4,5,5,4,제주특별자치도,제주,자녀 동반 여행,2022-10-09~2022-10-10,8,2,1,3
d010735,27,여,30,6,1,2,2,3,,1,4,2,1,42,42150,26,26350,50,50110,4,2,2,3,2,6,5,6,대구광역시,제주,2인 가족 여행,2022-11-02~2022-11-05,9,3,1,1
a008302,11,남,30,5,1,2,3,1,,1,5,3,6,42,42150,41,41820,50,50110,4,1,2,4,2,4,6,4,서울특별시,경기,2인 여행(가족 외),2022-10-29~2022-10-31,2,3,1,1
d003688,50,여,20,5,3,1,3,2,,3,7,2,2,28,28260,29,29110,50,50130,2,1,1,5,4,3,7,5,제주특별자치도,제주,나홀로 여행,2022-10-16~2022-10-18,2,6,1,0
a008260,41,여,30,6,1,1,4,3,,4,10,3,5,50,50110,50,50130,26,26350,3,2,3,2,2,2,4,6,경기도,인천,부모 동반 여행,2022-10-15~2022-10-16,2,9,3,3
d001725,41,남,20,4,1,1,4,12,,1,6,3,6,50,50110,45,45130,28,28710,2,2,1,6,2,1,6,7,경기도,도서 지역,나홀로 여행,2022-10-12~2022-10-14,7,4,1,0
d003623,50,여,30,6,1,1,3,4,,3,8,2,1,11,11680,42,42150,50,50110,4,4,2,2,3,2,6,2,제주특별자치도,제주,나홀로 여행,2022-10-09~2022-10-09,2,1,,0
d009361,11,여,40,4,1,1,4,3,,3,6,3,2,42,42110,28,28710,46,46110,4,1,4,1,2,6,1,6,서울특별시,제주,3인 이상 여행(가족 외),2022-10-30~2022-11-01,3,9,5,3
d003876,41,남,30,5,1,2,4,10,,5,5,2,1,41,41650,41,41550,47,47900,1,1,1,4,7,2,2,6,경기도,제주,자녀 동반 여행,2022-10-06~2022-10-11,3,2,1,3
d001967,11,여,40,6,1,1,4,3,,6,6,3,1,41,41110,50,50130,42,42760,4,2,2,5,4,5,3,5,서울특별시,제주,나홀로 여행,2022-10-08~2022-10-12,2,6,1,0
d000886,28,여,20,6,1,1,2,4,,4,7,3,3,50,50130,43,43110,26,26710,2,2,1,4,4,3,7,7,인천광역시,제주,2인 여행(가족 외),2022-09-01~2022-09-03,1,3,2,1
d005495,50,남,40,6,1,2,1,2,,5,,3,3,50,50110,50,50130,41,41170,4,5,2,3,3,1,3,6,제주특별자치도,제주,나홀로 여행,2022-10-29~2022-10-30,2,1,5,0
d010505,28,여,30,4,1,2,2,3,,4,7,3,5,50,50130,42,42150,45,45130,4,3,3,6,2,4,2,6,인천광역시,제주,2인 여행(가족 외),2022-10-30~2022-11-02,2,3,7,1
d001513,28,여,30,5,1,2,5,4,,1,6,2,1,42,42210,41,41500,43,43800,4,2,2,4,6,4,2,5,인천광역시,제주,자녀 동반 여행,2022-09-27~2022-09-29,7,3,1,4
a006040,11,남,40,6,1,2,4,3,,5,6,2,2,42,42150,46,46770,48,48220,3,3,4,6,3,4,3,5,서울특별시,인천,3대 동반 여행(친척 포함),2022-10-11~2022-10-11,2,3,9,5
d002067,28,남,20,6,1,1,1,3,,6,,3,2,50,50130,26,26350,42,42210,4,2,2,4,2,3,6,1,인천광역시,제주,나홀로 여행,2022-10-02~2022-10-05,2,1,7,0
d009612,50,여,30,6,1,1,1,2,,4,,2,2,50,50110,11,11110,42,42170,3,3,4,4,4,1,7,7,제주특별자치도,제주,나홀로 여행,2022-11-05~2022-11-06,10,1,6,0
d004767,28,여,30,6,1,2,2,4,,5,5,2,1,50,50110,42,42210,50,50130,2,2,2,1,1,3,2,5,인천광역시,제주,2인 가족 여행,2022-10-10~2022-10-13,3,2,1,1
a006188,41,남,20,6,2,1,4,12,,1,1,2,1,11,11440,28,28260,42,42150,6,2,2,5,6,7,3,6,경기도,인천,2인 여행(가족 외),2022-10-07~2022-10-08,9,3,1,1
d003536,11,여,30,6,1,1,1,3,,6,,3,2,42,42150,50,50110,45,45110,2,2,3,1,6,3,1,3,서울특별시,제주,2인 여행(가족 외),2022-10-05~2022-10-10,3,2,1,1
c003292,30,여,40,5,1,2,3,2,,8,12,2,1,42,42150,26,26710,43,43150,5,1,2,2,2,6,2,2,대전광역시,전남,3인 이상 여행(가족 외),2022-10-01~2022-10-03,3,1,2,2
d000266,28,남,40,6,1,2,4,1,,6,10,3,5,50,50130,42,42210,28,28710,3,4,3,2,3,3,5,5,인천광역시,제주,3대 동반 여행(친척 포함),2022-08-18~2022-08-21,9,8,,8
d008023,41,여,20,5,1,1,4,9,,1,6,2,1,50,50110,26,26350,48,48310,3,1,1,1,4,1,7,7,경기도,제주,2인 여행(가족 외),2022-10-26~2022-10-31,1,2,5,1
d010450,41,남,40,6,1,2,4,3,,6,8,2,1,42,42210,43,43110,46,46130,2,4,1,4,5,6,2,6,경기도,제주,자녀 동반 여행,2022-11-01~2022-11-04,3,2,10,3
d001208,41,남,50,7,5,2,4,,3,9,12,3,3,50,50130,42,42150,48,48330,2,1,1,2,7,2,1,6,경기도,제주,자녀 동반 여행,2022-09-18~2022-09-22,2,3,4,3
d009936,50,여,30,5,1,2,4,3,,3,5,2,2,50,50110,50,50130,11,11110,2,6,3,4,3,4,6,2,제주특별자치도,제주,자녀 동반 여행,2022-10-29~2022-10-29,3,7,,3
d009529,11,여,20,6,1,1,3,2,,3,5,3,2,50,50110,26,26350,46,46770,6,2,2,5,6,3,6,6,서울특별시,제주,나홀로 여행,2022-11-03~2022-11-06,7,2,1,1
d003897,50,남,30,6,1,2,2,8,,5,6,2,2,50,50130,42,42150,26,26500,2,6,2,5,2,4,5,5,제주특별자치도,제주,2인 여행(가족 외),2022-10-21~2022-10-22,7,2,3,1
d010070,50,여,20,6,1,1,1,3,,5,,3,8,50,50110,50,50130,11,11560,4,2,2,4,6,2,1,2,제주특별자치도,제주,3인 이상 여행(가족 외),2022-10-29~2022-10-30,3,1,5,2
d007753,31,남,20,6,1,1,3,2,,2,4,3,1,50,50130,11,11710,11,11170,4,3,3,3,3,5,3,5,울산광역시,제주,2인 여행(가족 외),2022-10-30~2022-10-31,1,2,8,1
d000020,11,여,30,6,1,1,1,3,,4,,3,3,50,50130,50,50110,42,42820,4,1,1,3,4,4,2,7,서울특별시,제주,3인 이상 여행(가족 외),2022-08-05~2022-08-09,1,6,2,3
d010212,50,남,20,6,1,1,1,4,,4,,3,2,11,11680,26,26350,42,42760,7,1,1,1,1,6,5,7,제주특별자치도,제주,2인 여행(가족 외),2022-10-29~2022-10-30,2,5,1,1
d009214,41,남,30,6,1,1,1,8,,6,,3,3,50,50110,50,50130,28,28710,2,2,4,3,2,6,2,6,경기도,제주,나홀로 여행,2022-10-28~2022-10-29,2,1,6,0
c002245,11,여,60,4,1,2,2,,1,1,11,3,1,50,50130,46,46130,47,47130,4,2,1,2,3,2,2,5,서울특별시,전남,2인 가족 여행,2022-09-24~2022-09-25,2,1,4,1
d000824,11,여,30,5,1,1,4,2,,4,8,2,1,50,50110,26,26350,42,42830,3,1,1,5,1,1,1,5,서울특별시,제주,부모 동반 여행,2022-08-21~2022-08-26,2,3,10,4
d001872,41,여,30,6,1,1,1,2,,5,,3,5,42,42150,50,50130,26,26500,2,2,4,3,3,4,6,5,경기도,제주,나홀로 여행,2022-10-15~2022-10-18,1,7,,0
c000609,11,여,40,6,1,2,5,8,,5,5,3,2,42,42150,46,46130,41,41820,2,2,3,4,1,4,4,4,서울특별시,전남,3인 이상 여행(가족 외),2022-08-20~2022-08-22,2,,,3
d004733,50,남,40,4,1,2,4,4,,5,5,2,3,50,50130,11,11680,42,42830,4,1,1,1,1,7,1,7,제주특별자치도,제주,자녀 동반 여행,2022-10-29~2022-10-30,3,5,1,3
d005563,28,여,20,6,1,1,1,1,,5,,2,1,42,42150,26,26710,50,50110,4,2,2,4,4,4,2,6,인천광역시,제주,나홀로 여행,2022-10-21~2022-10-23,7,2,4,0
d000264,41,남,30,6,1,2,5,1,,7,7,3,4,42,42210,50,50110,41,41800,1,4,6,5,6,3,4,6,경기도,제주,3인 이상 여행(가족 외),2022-08-19~2022-08-22,7,1,3,2
c001519,11,남,30,7,2,2,4,3,,12,12,3,5,42,42210,42,42820,50,50130,1,1,4,3,3,3,3,5,서울특별시,충남,자녀 동반 여행,2022-09-04~2022-09-06,2,3,1,3
d002140,41,여,20,5,1,1,5,3,,4,9,3,3,42,42150,26,26500,47,47130,2,1,4,6,3,5,7,7,경기도,제주,나홀로 여행,2022-10-15~2022-10-18,4,10,2,0
d000408,11,남,30,6,1,1,1,,3,3,,3,3,50,50110,41,41820,50,50130,3,3,5,5,4,4,3,3,서울특별시,제주,나홀로 여행,2022-09-06~2022-09-08,2,1,7,0
a006623,41,남,40,5,1,2,2,13,,6,7,2,1,42,42210,50,50130,46,46170,2,2,2,3,2,4,5,6,경기도,인천,2인 가족 여행,2022-10-09~2022-10-09,1,3,2,1
d002120,41,남,20,6,2,1,1,12,,2,,3,2,47,47130,46,46130,42,42210,4,3,2,4,5,5,5,4,경기도,제주,부모 동반 여행,2022-10-07~2022-10-10,3,2,7,2
b004339,30,남,40,7,1,2,4,2,,12,12,2,4,50,50130,47,47130,48,48820,2,3,1,4,6,5,3,2,대전광역시,경남,자녀 동반 여행,2022-09-24~2022-09-25,8,3,2,3
d008122,50,여,20,5,1,1,1,4,,4,,2,5,50,50110,50,50130,26,26350,2,6,2,4,4,4,3,6,제주특별자치도,제주,2인 여행(가족 외),2022-10-27~2022-10-27,3,2,5,1
c000432,46,남,20,6,1,1,1,3,,5,,3,4,50,50110,50,50130,45,45110,2,1,1,3,6,2,6,2,전라남도,전남,2인 여행(가족 외),2022-08-20~2022-08-21,3,,,1
